Path,Type,AppShortName,Schema,Sequence
JAVA/helloricoh.java,JAVA,XXIPO,,1
JAVA/test5.java,JAVA,XXRFG,,2
JAVA/Helloworld.java,JAVA,IKNAU,,3
JAVA/test.java,JAVA,XXRFG,,4
REPORTS/test.rdf,REPORT,IKNCU,,
STYLESHEET/test2.css,STYLESHEET,IKNCU,,
REPORT/test1.rdf,REPORT,IKNCU,,
REPORT/test2.rdf,REPORT,IKNCU,,
SQL/file.sql,SQL,XXIPO,APPS,5
STYLESHEET/test1.css,STYLESHEET,IKNCU,,6
JSP/test1.jsp,JSP,IKNCU,,
JAVASCRIPT/test.js,JAVASCRIPT,IKNCU,,
FORMS/test.fmb,FORMS,IKNAU,,
SQL/test2.sql,SQL,XXIPO,APPS,7
SQL/test3.sql,SQL,XXIPO,APPS,8
JSP/test2.jsp,JSP,IKNCU,,
JSP/test3.jsp,JSP,IKNCU,,
